timestamp,meter_reading,hour,dow
2016-01-01 00:00:00,23.3036,0,4
2016-01-01 01:00:00,45.6071,1,4
2016-01-01 02:00:00,45.6071,2,4
2016-01-01 03:00:00,45.1071,3,4
2016-01-01 04:00:00,45.6071,4,4
2016-01-01 05:00:00,45.1071,5,4
2016-01-01 06:00:00,45.1071,6,4
2016-01-01 07:00:00,43.6071,7,4
2016-01-01 08:00:00,46.1071,8,4
2016-01-01 09:00:00,47.6071,9,4
2016-01-01 10:00:00,47.6071,10,4
2016-01-01 11:00:00,48.1071,11,4
2016-01-01 12:00:00,48.6071,12,4
2016-01-01 13:00:00,48.1071,13,4
2016-01-01 14:00:00,48.6071,14,4
2016-01-01 15:00:00,49.1071,15,4
2016-01-01 16:00:00,49.1071,16,4
2016-01-01 17:00:00,49.1071,17,4
2016-01-01 18:00:00,48.1071,18,4
2016-01-01 19:00:00,47.6071,19,4
2016-01-01 20:00:00,48.6071,20,4
2016-01-01 21:00:00,46.6071,21,4
2016-01-01 22:00:00,45.6071,22,4
2016-01-01 23:00:00,45.1071,23,4
2016-01-02 00:00:00,37.9286,0,5
2016-01-02 01:00:00,50.5536,1,5
2016-01-02 02:00:00,41.25,2,5
2016-01-02 03:00:00,43.0,3,5
2016-01-02 04:00:00,42.625,4,5
2016-01-02 05:00:00,42.0,5,5
2016-01-02 06:00:00,41.625,6,5
2016-01-02 07:00:00,40.125,7,5
2016-01-02 08:00:00,40.5,8,5
2016-01-02 09:00:00,41.625,9,5
2016-01-02 10:00:00,42.625,10,5
2016-01-02 11:00:00,45.375,11,5
2016-01-02 12:00:00,46.25,12,5
2016-01-02 13:00:00,46.375,13,5
2016-01-02 14:00:00,49.875,14,5
2016-01-02 15:00:00,49.0,15,5
2016-01-02 16:00:00,50.0,16,5
2016-01-02 17:00:00,48.75,17,5
2016-01-02 18:00:00,48.875,18,5
2016-01-02 19:00:00,49.25,19,5
2016-01-02 20:00:00,49.125,20,5
2016-01-02 21:00:00,47.25,21,5
2016-01-02 22:00:00,46.625,22,5
2016-01-02 23:00:00,46.25,23,5
2016-01-03 00:00:00,45.375,0,6
2016-01-03 01:00:00,44.5,1,6
2016-01-03 02:00:00,43.875,2,6
2016-01-03 03:00:00,43.125,3,6
2016-01-03 04:00:00,43.75,4,6
2016-01-03 05:00:00,43.5,5,6
2016-01-03 06:00:00,44.25,6,6
2016-01-03 07:00:00,43.0,7,6
2016-01-03 08:00:00,43.375,8,6
2016-01-03 09:00:00,44.0,9,6
2016-01-03 10:00:00,45.25,10,6
2016-01-03 11:00:00,48.25,11,6
2016-01-03 12:00:00,52.625,12,6
2016-01-03 13:00:00,54.625,13,6
2016-01-03 14:00:00,55.875,14,6
2016-01-03 15:00:00,56.375,15,6
2016-01-03 16:00:00,55.75,16,6
2016-01-03 17:00:00,56.375,17,6
2016-01-03 18:00:00,55.375,18,6
2016-01-03 19:00:00,56.625,19,6
2016-01-03 20:00:00,54.0,20,6
2016-01-03 21:00:00,48.875,21,6
2016-01-03 22:00:00,47.375,22,6
2016-01-03 23:00:00,46.875,23,6
2016-01-04 00:00:00,47.375,0,0
2016-01-04 01:00:00,44.0,1,0
2016-01-04 02:00:00,44.75,2,0
2016-01-04 03:00:00,45.0,3,0
2016-01-04 04:00:00,43.375,4,0
2016-01-04 05:00:00,44.375,5,0
2016-01-04 06:00:00,46.25,6,0
2016-01-04 07:00:00,55.625,7,0
2016-01-04 08:00:00,68.0,8,0
2016-01-04 09:00:00,85.375,9,0
2016-01-04 10:00:00,94.5,10,0
2016-01-04 11:00:00,111.125,11,0
2016-01-04 12:00:00,115.125,12,0
2016-01-04 13:00:00,114.5,13,0
2016-01-04 14:00:00,114.0,14,0
